work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Identifier
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L,2023SEFTPrincipal Data Scientist80000EUR85847ES100ESL
2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S,2023MICTML Engineer30000USD30000US100USS
2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S,2023MICTML Engineer25500USD25500US100USS
2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M,2023SEFTData Scientist175000USD175000CA100CAM
2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M,2023SEFTData Scientist120000USD120000CA100CAM
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,2023SEFTApplied Scientist222200USD222200US0USL
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,2023SEFTApplied Scientist136000USD136000US0USL
2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M,2023SEFTData Scientist219000USD219000CA0CAM
2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M,2023SEFTData Scientist141000USD141000CA0CAM
2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M,2023SEFTData Scientist147100USD147100US0USM
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M,2023SEFTData Scientist90700USD90700US0USM
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M,2023SEFTData Analyst130000USD130000US100USM
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,2023SEFTData Analyst100000USD100000US100USM
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,2023ENFTApplied Scientist213660USD213660US0USL
2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,2023ENFTApplied Scientist130760USD130760US0USL
2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M,2023SEFTData Modeler147100USD147100US0USM
2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M,2023SEFTData Modeler90700USD90700US0USM
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,2023SEFTData Scientist170000USD170000US0USM
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,2023SEFTData Scientist150000USD150000US0USM
2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,2023MIFTData Analyst150000USD150000US100USM
2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M,2023MIFTData Analyst110000USD110000US100USM
2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M,2023SEFTResearch Engineer275000USD275000DE0DEM
2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M,2023SEFTResearch Engineer174000USD174000DE0DEM
2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M,2023SEFTAnalytics Engineer230000USD230000GB100GBM
2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M,2023SEFTAnalytics Engineer143200USD143200GB100GBM
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M,2023SEFTBusiness Intelligence Engineer225000USD225000US0USM
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M,2023SEFTBusiness Intelligence Engineer156400USD156400US0USM
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M,2023SEFTMachine Learning Engineer200000USD200000US0USM
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M,2023SEFTMachine Learning Engineer130000USD130000US0USM
2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,M,2023SEFTData Strategist90000USD90000CA0CAM
2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,M,2023SEFTData Strategist72000USD72000CA0CAM
2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M,2023SEFTData Engineer253200USD253200US0USM
2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M,2023SEFTData Engineer90700USD90700US0USM
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M,2023SEFTComputer Vision Engineer342810USD342810US0USM
2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M,2023SEFTComputer Vision Engineer184590USD184590US0USM
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,2023MIFTData Engineer162500USD162500US0USM
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,2023MIFTData Engineer130000USD130000US0USM
2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M,2023MIFTData Analyst105380USD105380US0USM
2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M,2023MIFTData Analyst64500USD64500US0USM
2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L,2023ENFTData Quality Analyst100000USD100000NG100NGL
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L,2023ENFTCompliance Data Analyst30000USD30000NG100NGL
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L,2022MIFTMachine Learning Engineer1650000INR20984IN50INL
2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L,2023ENFTApplied Scientist204620USD204620US0USL
2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L,2023ENFTApplied Scientist110680USD110680US0USL
2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M,2023SEFTData Engineer270703USD270703US0USM
2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M,2023SEFTData Engineer221484USD221484US0USM
2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M,2023SEFTData Scientist212750USD212750US100USM
2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,2023SEFTData Scientist185000USD185000US100USM
2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M,2023SEFTData Scientist262000USD262000US100USM
2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M,2023SEFTData Scientist245000USD245000US100USM
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M,2023SEFTData Scientist275300USD275300US100USM
2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M,2023SEFTData Scientist183500USD183500US100USM
2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M,2023SEFTData Scientist218500USD218500US100USM
2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M,2023SEFTData Scientist199098USD199098US100USM
2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M,2023SEFTData Engineer203300USD203300US100USM
2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M,2023SEFTData Engineer123600USD123600US100USM
2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M,2023SEFTResearch Engineer189110USD189110US0USM
2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M,2023SEFTResearch Engineer139000USD139000US0USM
2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M,2023EXFTData Scientist258750USD258750US0USM
2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M,2023EXFTData Scientist185000USD185000US0USM
2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M,2023SEFTData Engineer231500USD231500US100USM
2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,2023SEFTData Engineer166000USD166000US100USM
2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M,2023SEFTData Scientist172500USD172500US100USM
2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M,2023SEFTData Scientist110500USD110500US100USM
2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M,2023SEFTData Engineer238000USD238000US0USM
2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M,2023SEFTData Engineer176000USD176000US0USM
2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M,2023SEFTData Engineer237000USD237000US100USM
2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M,2023SEFTData Engineer201450USD201450US100USM
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,2023SEFTApplied Scientist309400USD309400US0USL
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,2023SEFTApplied Scientist159100USD159100US0USL
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,2023SEFTData Engineer115000USD115000US0USM
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,2023SEFTData Engineer81500USD81500US0USM
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M,2023SEFTData Scientist237000USD237000US100USM
2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M,2023SEFTData Scientist201450USD201450US100USM
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M,2023SEFTComputer Vision Engineer280000USD280000US0USM
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M,2023SEFTComputer Vision Engineer210000USD210000US0USM
2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M,2023SEFTData Architect280100USD280100US100USM
2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M,2023SEFTData Architect168100USD168100US100USM
2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,2023SEFTData Engineer193500USD193500US100USM
2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M,2023SEFTData Engineer139000USD139000US100USM
2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L,2023MIFTData Scientist510000HKD65062HK0HKL
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M,2023SEFTMachine Learning Engineer150000USD150000PT100USM
2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S,2023MIFTApplied Machine Learning Engineer65000EUR69751IN100DES
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L,2022ENFTAI Developer300000USD300000IN50INL
2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L,2023MIFTMachine Learning Engineer90000EUR96578NL100NLL
2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,M,2023SEFTBusiness Intelligence Engineer185900USD185900US0USM
2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,M,2023SEFTBusiness Intelligence Engineer129300USD129300US0USM
2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M,2023SEFTData Engineer225000USD225000US100USM
2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,2023SEFTData Engineer175000USD175000US100USM
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,2023SEFTData Engineer185000USD185000US0USM
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,2023SEFTData Engineer140000USD140000US0USM
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,2023SEFTData Scientist45000EUR48289ES0ESM
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,2023SEFTData Scientist36000EUR38631ES0ESM
2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M,2023SEFTData Scientist105000USD105000US0USM
2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M,2023SEFTData Scientist70000USD70000US0USM
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M,2023ENFTMachine Learning Engineer163196USD163196US0USM
2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M,2023ENFTMachine Learning Engineer145885USD145885US0USM
2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M,2023SEFTData Engineer217000USD217000US100USM
2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,2023SEFTData Engineer185000USD185000US100USM
2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L,2023SEFTData Analyst202800USD202800US0USL
2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L,2023SEFTData Analyst104300USD104300US0USL
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M,2023SEFTData Analyst145000USD145000US0USM
2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M,2023SEFTData Analyst65000USD65000US0USM
2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,2023SEFTData Engineer165000USD165000US0USM
2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,M,2023SEFTData Engineer132300USD132300US0USM
2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,M,2023SEFTData Engineer179170USD179170US0USM
2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,M,2023SEFTData Engineer94300USD94300US0USM
2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M,2023SEFTAnalytics Engineer152500USD152500US0USM
2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M,2023SEFTAnalytics Engineer116450USD116450US0USM
2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,M,2023SEFTData Engineer247300USD247300US0USM
2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M,2023SEFTData Engineer133800USD133800US0USM
2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M,2023SEFTResearch Engineer203000USD203000US0USM
2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M,2023SEFTResearch Engineer133000USD133000US0USM
2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L,2023ENFTResearch Scientist220000USD220000US50USL
2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,S,2022ENFTMachine Learning Engineer54000CHF56536CH100CHS
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,2023SEFTData Scientist120000USD120000US0USM
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,2023SEFTAnalytics Engineer289800USD289800US0USM
2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M,2023SEFTAnalytics Engineer214000USD214000US0USM
2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M,2023SEFTAnalytics Engineer179820USD179820US0USM
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M,2023SEFTAnalytics Engineer143860USD143860US0USM
2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M,2023SEFTMachine Learning Engineer283200USD283200US100USM
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M,2023SEFTMachine Learning Engineer188800USD188800US100USM
2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M,2023SEFTAnalytics Engineer214200USD214200US0USM
2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M,2023SEFTData Engineer185900USD185900US0USM
2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M,2023SEFTData Engineer129300USD129300US0USM
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M,2023SEFTData Engineer252000USD252000US0USM
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M,2023SEFTData Engineer129000USD129000US0USM
